code,city,link,class
6.50E+11,乌鲁木齐市,65/6501.html,city
6.50E+11,克拉玛依市,65/6502.html,city
6.50E+11,吐鲁番市,65/6504.html,city
6.51E+11,哈密市,65/6505.html,city
6.52E+11,昌吉回族自治州,65/6523.html,city
6.53E+11,博尔塔拉蒙古自治州,65/6527.html,city
6.53E+11,巴音郭楞蒙古自治州,65/6528.html,city
6.10E+11,西安市,61/6101.html,city
6.10E+11,铜川市,61/6102.html,city
6.10E+11,宝鸡市,61/6103.html,city
6.10E+11,咸阳市,61/6104.html,city
6.11E+11,渭南市,61/6105.html,city
6.11E+11,延安市,61/6106.html,city
6.11E+11,汉中市,61/6107.html,city
6.11E+11,榆林市,61/6108.html,city
6.11E+11,安康市,61/6109.html,city
6.11E+11,商洛市,61/6110.html,city
6.53E+11,阿克苏地区,65/6529.html,city
6.53E+11,克孜勒苏柯尔克孜自治州,65/6530.html,city
6.53E+11,喀什地区,65/6531.html,city
6.53E+11,和田地区,65/6532.html,city
6.54E+11,伊犁哈萨克自治州,65/6540.html,city
6.54E+11,塔城地区,65/6542.html,city
6.54E+11,阿勒泰地区,65/6543.html,city
6.59E+11,自治区直辖县级行政区划,65/6590.html,city
6.20E+11,兰州市,62/6201.html,city
6.20E+11,嘉峪关市,62/6202.html,city
5.40E+11,拉萨市,54/5401.html,city
5.40E+11,日喀则市,54/5402.html,city
5.40E+11,昌都市,54/5403.html,city
5.40E+11,林芝市,54/5404.html,city
5.41E+11,山南市,54/5405.html,city
5.41E+11,那曲市,54/5406.html,city
5.43E+11,阿里地区,54/5425.html,city
5.20E+11,贵阳市,52/5201.html,city
5.20E+11,六盘水市,52/5202.html,city
5.20E+11,遵义市,52/5203.html,city
5.20E+11,安顺市,52/5204.html,city
5.21E+11,毕节市,52/5205.html,city
5.21E+11,铜仁市,52/5206.html,city
5.22E+11,黔西南布依族苗族自治州,52/5223.html,city
5.23E+11,黔东南苗族侗族自治州,52/5226.html,city
5.23E+11,黔南布依族苗族自治州,52/5227.html,city
6.30E+11,西宁市,63/6301.html,city
6.30E+11,海东市,63/6302.html,city
6.32E+11,海北藏族自治州,63/6322.html,city
6.32E+11,黄南藏族自治州,63/6323.html,city
6.33E+11,海南藏族自治州,63/6325.html,city
6.33E+11,果洛藏族自治州,63/6326.html,city
6.33E+11,玉树藏族自治州,63/6327.html,city
6.33E+11,海西蒙古族藏族自治州,63/6328.html,city
6.40E+11,银川市,64/6401.html,city
6.40E+11,石嘴山市,64/6402.html,city
6.40E+11,吴忠市,64/6403.html,city
6.40E+11,固原市,64/6404.html,city
6.41E+11,中卫市,64/6405.html,city
5.30E+11,昆明市,53/5301.html,city
5.30E+11,曲靖市,53/5303.html,city
5.30E+11,玉溪市,53/5304.html,city
5.31E+11,保山市,53/5305.html,city
5.31E+11,昭通市,53/5306.html,city
5.31E+11,丽江市,53/5307.html,city
5.31E+11,普洱市,53/5308.html,city
5.31E+11,临沧市,53/5309.html,city
5.32E+11,楚雄彝族自治州,53/5323.html,city
5.33E+11,红河哈尼族彝族自治州,53/5325.html,city
5.33E+11,文山壮族苗族自治州,53/5326.html,city
5.33E+11,西双版纳傣族自治州,53/5328.html,city
5.33E+11,大理白族自治州,53/5329.html,city
5.33E+11,德宏傣族景颇族自治州,53/5331.html,city
5.33E+11,怒江傈僳族自治州,53/5333.html,city
5.33E+11,迪庆藏族自治州,53/5334.html,city
6.20E+11,金昌市,62/6203.html,city
6.20E+11,白银市,62/6204.html,city
6.21E+11,天水市,62/6205.html,city
6.21E+11,武威市,62/6206.html,city
6.21E+11,张掖市,62/6207.html,city
6.21E+11,平凉市,62/6208.html,city
6.21E+11,酒泉市,62/6209.html,city
6.21E+11,庆阳市,62/6210.html,city
6.21E+11,定西市,62/6211.html,city
6.21E+11,陇南市,62/6212.html,city
6.23E+11,临夏回族自治州,62/6229.html,city
6.23E+11,甘南藏族自治州,62/6230.html,city
4.40E+11,广州市,44/4401.html,city
4.40E+11,韶关市,44/4402.html,city
4.40E+11,深圳市,44/4403.html,city
4.40E+11,珠海市,44/4404.html,city
4.41E+11,汕头市,44/4405.html,city
4.41E+11,佛山市,44/4406.html,city
4.41E+11,江门市,44/4407.html,city
4.41E+11,湛江市,44/4408.html,city
4.41E+11,茂名市,44/4409.html,city
4.41E+11,肇庆市,44/4412.html,city
4.41E+11,惠州市,44/4413.html,city
4.41E+11,梅州市,44/4414.html,city
4.42E+11,汕尾市,44/4415.html,city
4.42E+11,河源市,44/4416.html,city
4.42E+11,阳江市,44/4417.html,city
4.42E+11,清远市,44/4418.html,city
4.42E+11,东莞市,44/4419.html,city
4.42E+11,中山市,44/4420.html,city
4.45E+11,潮州市,44/4451.html,city
4.45E+11,揭阳市,44/4452.html,city
4.45E+11,云浮市,44/4453.html,city
5.10E+11,成都市,51/5101.html,city
5.10E+11,自贡市,51/5103.html,city
5.10E+11,攀枝花市,51/5104.html,city
5.11E+11,泸州市,51/5105.html,city
5.11E+11,德阳市,51/5106.html,city
5.11E+11,绵阳市,51/5107.html,city
5.11E+11,广元市,51/5108.html,city
5.11E+11,遂宁市,51/5109.html,city
5.11E+11,内江市,51/5110.html,city
5.11E+11,乐山市,51/5111.html,city
5.11E+11,南充市,51/5113.html,city
5.11E+11,眉山市,51/5114.html,city
5.12E+11,宜宾市,51/5115.html,city
5.12E+11,广安市,51/5116.html,city
5.12E+11,达州市,51/5117.html,city
5.12E+11,雅安市,51/5118.html,city
5.12E+11,巴中市,51/5119.html,city
5.12E+11,资阳市,51/5120.html,city
5.13E+11,阿坝藏族羌族自治州,51/5132.html,city
5.13E+11,甘孜藏族自治州,51/5133.html,city
5.13E+11,凉山彝族自治州,51/5134.html,city
4.30E+11,长沙市,43/4301.html,city
4.30E+11,株洲市,43/4302.html,city
4.30E+11,湘潭市,43/4303.html,city
4.30E+11,衡阳市,43/4304.html,city
4.31E+11,邵阳市,43/4305.html,city
4.31E+11,岳阳市,43/4306.html,city
4.31E+11,常德市,43/4307.html,city
4.31E+11,张家界市,43/4308.html,city
4.31E+11,益阳市,43/4309.html,city
4.31E+11,郴州市,43/4310.html,city
4.31E+11,永州市,43/4311.html,city
4.31E+11,怀化市,43/4312.html,city
4.31E+11,娄底市,43/4313.html,city
4.33E+11,湘西土家族苗族自治州,43/4331.html,city
4.10E+11,郑州市,41/4101.html,city
4.10E+11,开封市,41/4102.html,city
4.10E+11,洛阳市,41/4103.html,city
4.10E+11,平顶山市,41/4104.html,city
4.11E+11,安阳市,41/4105.html,city
4.11E+11,鹤壁市,41/4106.html,city
4.11E+11,新乡市,41/4107.html,city
4.11E+11,焦作市,41/4108.html,city
4.11E+11,濮阳市,41/4109.html,city
4.11E+11,许昌市,41/4110.html,city
4.11E+11,漯河市,41/4111.html,city
4.11E+11,三门峡市,41/4112.html,city
4.11E+11,南阳市,41/4113.html,city
4.11E+11,商丘市,41/4114.html,city
4.12E+11,信阳市,41/4115.html,city
4.12E+11,周口市,41/4116.html,city
4.12E+11,驻马店市,41/4117.html,city
4.19E+11,省直辖县级行政区划,41/4190.html,city
5.00E+11,市辖区,50/5001.html,city
5.00E+11,县,50/5002.html,city
